scenario,generation,overall_mean_correct,overall_sd_correct,sem_correct,N_runs_correct,overall_mean_correct_pct,overall_sd_correct_pct,sem_correct_pct,overall_mean_wrong_no_error,overall_sd_wrong_no_error,sem_wrong_no_error,N_runs_wrong_no_error,overall_mean_wrong_no_error_pct,overall_sd_wrong_no_error_pct,sem_wrong_no_error_pct,overall_mean_error,overall_sd_error,sem_error,N_runs_error,overall_mean_error_pct,overall_sd_error_pct,sem_error_pct,n_batches
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.49665380000000003,0.42465610359655503,0.0424656103596555,100.0,49.665380000000006,42.4656103596555,4.24656103596555,0.24022139999999997,0.34640231185757514,0.034640231185757514,100.0,24.022139999999997,34.640231185757514,3.4640231185757515,0.263125,0.4191939798045576,0.041919397980455755,100.0,26.3125,41.919397980455756,4.191939798045576,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.4972005,0.42587425808822005,0.04258742580882201,100.0,49.72005,42.587425808822005,4.258742580882201,0.2399869,0.3461384454214787,0.03461384454214787,100.0,23.99869,34.61384454214787,3.4613844542147874,0.2628125,0.4204746619762724,0.04204746619762724,100.0,26.28125,42.047466197627244,4.204746619762724,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.499388,0.4264994338822962,0.042649943388229625,100.0,49.9388,42.64994338822962,4.264994338822962,0.23920579999999997,0.34594999890208633,0.03459499989020863,100.0,23.920579999999998,34.59499989020863,3.459499989020863,0.2614064,0.4201339208880757,0.04201339208880757,100.0,26.140639999999998,42.01339208880757,4.201339208880757,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.5016537,0.4270678703141417,0.042706787031414166,100.0,50.165369999999996,42.706787031414166,4.270678703141416,0.23897140000000003,0.3460344590936462,0.03460344590936462,100.0,23.897140000000004,34.60344590936462,3.460344590936462,0.2593752,0.4197665466257056,0.04197665466257056,100.0,25.937519999999996,41.97665466257056,4.197665466257057,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.39270800000000006,0.35438106824562327,0.035438106824562325,100.0,39.27080000000001,35.438106824562325,3.5438106824562325,0.265495,0.3188054721156917,0.031880547211569174,100.0,26.5495,31.880547211569173,3.1880547211569175,0.341797,0.3928256333065948,0.03928256333065948,100.0,34.179700000000004,39.28256333065948,3.928256333065948,10
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.4640755000000001,0.36943604422911497,0.036943604422911495,100.0,46.40755000000001,36.9436044229115,3.6943604422911496,0.2617188,0.3073251202952582,0.030732512029525823,100.0,26.171879999999998,30.73251202952582,3.0732512029525823,0.2742057,0.38112809831105604,0.038112809831105605,100.0,27.420569999999998,38.1128098311056,3.8112809831105605,10
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.4898829,0.37584163103572754,0.03758416310357275,100.0,48.98829,37.584163103572756,3.758416310357275,0.2596745,0.3111660674924682,0.031116606749246822,100.0,25.967449999999996,31.116606749246824,3.111660674924682,0.25044259999999996,0.37520759634238526,0.037520759634238524,100.0,25.044259999999994,37.52075963423852,3.7520759634238523,10
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.5075131,0.38087871787030214,0.038087871787030214,100.0,50.751310000000004,38.08787178703022,3.8087871787030214,0.2603646,0.3151918584556352,0.03151918584556352,100.0,26.03646,31.51918584556352,3.151918584556352,0.23212249999999998,0.3711929361780812,0.03711929361780812,100.0,23.212249999999997,37.11929361780812,3.711929361780812,10
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.5270442999999999,0.3863578357285752,0.03863578357285752,100.0,52.70442999999999,38.63578357285752,3.8635783572857516,0.263659,0.32418748678302955,0.03241874867830295,100.0,26.365899999999996,32.418748678302954,3.2418748678302953,0.209297,0.36668226326512215,0.03666822632651222,100.0,20.9297,36.66822632651222,3.666822632651222,10
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.5435287,0.3904720479518827,0.039047204795188264,100.0,54.352869999999996,39.047204795188264,3.9047204795188266,0.26631499999999997,0.3291499458390023,0.03291499458390023,100.0,26.631499999999996,32.91499458390023,3.291499458390023,0.1901564,0.3583271654582773,0.03583271654582773,100.0,19.01564,35.83271654582773,3.583271654582773,10
