scenario,generation,n_contexts,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,64,0.5917057,0.025904413729667328,0.2998569,0.021354832148719867,0.1084375,0.013595556236833006
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,64,0.392708,0.0,0.265495,0.0,0.341797,0.0
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,64,0.4526172,0.008451392597935814,0.26718739999999996,0.008116630830858595,0.2801952,0.0074222364374448065
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,64,0.4779687,0.011119928287638461,0.2582812,0.008614687894004672,0.26375000000000004,0.009479603167971858
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,64,0.49421879999999996,0.013673912167172772,0.255052,0.014804960610101819,0.2507291,0.008923461254842013
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,64,0.5171443333333333,0.018377499292613262,0.2531105555555555,0.017418096466829493,0.22974533333333336,0.008023261758786135
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,64,0.5316696666666666,0.01675468071166981,0.2529946666666667,0.015594711531477583,0.21533577777777776,0.009953418379855456
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,64,0.5406249999999999,0.014654312897573858,0.2545138888888889,0.01571659572271015,0.20486088888888887,0.009184040415912332
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,64,0.5447337777777778,0.014393994587828786,0.253964,0.014748850878966805,0.2013018888888889,0.01150194376447351
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0008,64,0.5516636666666668,0.016224389811330356,0.25068,0.015644227082217913,0.19765611111111112,0.010979041652672205
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0009,64,0.5530237777777778,0.016578121408785854,0.25235844444444444,0.016054713708994556,0.194618,0.010807048197819795
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0010,64,0.5558736666666666,0.01760700540977933,0.25159155555555557,0.01648990123614384,0.19253466666666666,0.012464081424236608
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,64,0.392708,0.0,0.265495,0.0,0.341797,0.0
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0001,64,0.5011981000000001,0.010860468891555494,0.2854166,0.008440194760786026,0.21338530000000003,0.010711208646916454
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0002,64,0.529362,0.016915925448457686,0.2875002,0.010033751096507578,0.1831378,0.010910170319477138
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0003,64,0.5507422,0.009033522959879312,0.28782549999999996,0.009793002323087656,0.16143239999999998,0.010978427738068872
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0004,64,0.5790495,0.012445699080851611,0.28964840000000003,0.014414838775835584,0.13130190000000003,0.010843367286041726
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0005,64,0.5841145,0.010908145022566073,0.2968229,0.01622803382661553,0.1190625,0.01093886301475412
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0006,64,0.5837759,0.015202771198041493,0.3046616,0.020140878399690292,0.1115623,0.01215215744951397
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0007,64,0.5876041,0.01815304771748626,0.3039584,0.02160354994079548,0.10843739999999999,0.013004074551206384
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0008,64,0.585612,0.0182982402918362,0.3066535,0.025187755408134314,0.10773440000000001,0.014993445258215709
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0009,64,0.5844662,0.02146847149141686,0.3085807,0.028366599812102957,0.1069531,0.013870250926593457
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0010,64,0.5839063,0.02339994499542442,0.309922,0.03011494074375708,0.1061718,0.013438326770844649
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,initial,64,0.392708,0.0,0.265495,0.0,0.341797,0.0
